article_id,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,like_r1,like_r2,like_r3,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3
9432,http://www.medicalnewstoday.com/articles/14131.php,Depression also a problem in patients with Parkinson's,Depression,Depression,,,,3,1,3,4,2,3,4,4,4,,,,,,,,,
17114,http://www.medicalnewstoday.com/articles/23226.php,Testing new manic depression drugs in slime mould: an alternative to the current serendipitous approach,Depression,Depression,,,,5,5,4,5,3,4,5,2,5,,,,,,,,,
388,http://www.medicalnewstoday.com/articles/4063.php,Dietary cocktail reduces cancer deaths,Cancer / Oncology,Cancer / Oncology,,,,1,5,5,4,5,4,2,1,3,,,,,,,,,
1650,http://www.medicalnewstoday.com/articles/5331.php,Super smoking addicts see cigarettes as their pal,Cancer / Oncology,Cancer / Oncology,,,,1,1,1,3,1,3,4,2,4,,,,,,,,,
1850,http://www.medicalnewstoday.com/articles/5533.php,How to reduce your chances of developing colon cancer,Cancer / Oncology,Cancer / Oncology,,,,3,3,1,3,4,5,1,4,3,,,,,,,,,
2836,http://www.medicalnewstoday.com/articles/6577.php,Atkins diet for fat kids says cancer specialist Julian Peto,Cancer / Oncology,Cancer / Oncology,,,,2,4,1,1,5,5,1,1,3,,,,,,,,,
7273,http://www.medicalnewstoday.com/articles/11534.php,Mothers turn fearless when peptide level drops,Depression,Depression,,,,5,5,3,4,4,4,1,2,3,,,,,,,,,
1000,http://www.medicalnewstoday.com/articles/4677.php,How bullied children are affected,Depression,Depression,,,,2,1,1,3,2,5,2,4,4,,,,,,,,,
268304,http://www.medicalnewstoday.com/articles/310375.php,Is an insulin pump the best therapy for everyone with type 1 diabetes?,Diabetes,Diabetes,,,,1,2,4,3,5,5,3,5,4,,,,,,,,,
1162,http://www.medicalnewstoday.com/articles/4841.php,Visit Dentist Before Radiation Therapy to Prevent Oral Problems,Cancer / Oncology,Cancer / Oncology,,,,2,1,2,4,3,3,4,4,2,,,,,,,,,
13930,http://www.medicalnewstoday.com/articles/19260.php,Study Examines Why Many Young Adults Refuse Treatment For Depression,Depression,Depression,,,,4,3,4,3,4,3,4,5,2,,,,,,,,,
1960,http://www.medicalnewstoday.com/articles/5647.php,Why radiation therapy reduces bone cancer pain,Cancer / Oncology,Cancer / Oncology,,,,3,1,2,2,4,4,1,2,4,,,,,,,,,
272935,http://www.medicalnewstoday.com/articles/315047.php,"""Screen and treat"" approach to prevent type 2 diabetes unlikely to have major impact",Diabetes,Diabetes,,,,3,5,4,3,4,5,1,4,4,,,,,,,,,
26777,http://www.medicalnewstoday.com/articles/35647.php,Income Level May Predict Response To Depression Treatment,Depression,Depression,,,,5,5,1,5,5,3,3,4,4,,,,,,,,,
6522,http://www.medicalnewstoday.com/articles/10703.php,Migrating birds offer insight into sleep,Depression,Depression,,,,3,5,4,3,5,4,4,5,3,,,,,,,,,
17202,http://www.medicalnewstoday.com/articles/23349.php,"Safety Worries Linked to Poor Health, Depression",Depression,Depression,,,,1,3,4,3,4,5,5,4,5,,,,,,,,,
22884,http://www.medicalnewstoday.com/articles/30664.php,"Downward mobility hits men far harder than women, depression risk four times higher for men",Depression,Depression,,,,1,3,2,3,4,3,2,4,5,,,,,,,,,
15768,http://www.medicalnewstoday.com/articles/21480.php,Does Depression Predict Mortality In Heart Attacks?,Depression,Depression,,,,2,3,4,3,3,5,4,5,4,,,,,,,,,
269160,http://www.medicalnewstoday.com/articles/311241.php,Diabetes sniffer dogs? 'Scent' of hypos could aid development of new tests,Diabetes,Diabetes,,,,1,3,3,4,5,4,4,4,1,,,,,,,,,
556,http://www.medicalnewstoday.com/articles/4233.php,Death/mortality rates in US 4 leading cancers down,Cancer / Oncology,Cancer / Oncology,,,,2,1,5,4,5,4,1,2,3,,,,,,,,,
15603,http://www.medicalnewstoday.com/articles/21266.php,Depression may explain higher risk of heart attack associated with antidepressants,Depression,Depression,,,,3,1,5,5,3,4,4,4,4,,,,,,,,,
17237,http://www.medicalnewstoday.com/articles/23384.php,Female Teen Depression Can Be Prevented and Helped if Parents Know Red Flags,Depression,Depression,,,,2,1,1,3,3,4,2,4,3,,,,,,,,,
266392,http://www.medicalnewstoday.com/articles/308412.php,Parents think life quality is worse for teens and adults born very premature,Pediatrics / Children's Health,Pediatrics / Children's Health,,,,3,2,5,4,1,5,4,3,2,,,,,,,,,
